Job Title,Company Name,Rating,Experience,Salary,Location,Type,Skills Required
Data Insights & Analytics Business Translator,Telstra,4.1,2-7 Yrs,Not disclosed,Bangalore,Hybrid,Management 
"Hiring For Data Engineer, Optum !!!",Optum,4.1,6-9 Yrs,Not disclosed,Hyderabad,Hybrid,Python
Machine Learning Engineer,Data Collection Infotech,4.1,2-5 Yrs,Not disclosed,Bangalore,Hybrid,ML
Associate Data Engineer,Resmed,3.7,0-2 Yrs,Not disclosed,Bangalore,Hybrid,AWS
Data Analyst - FinTech,Primo Hiring,4.1,1-2 Yrs,Not disclosed,Hyderabad,Hybrid,DataAanlysis
IBM Cloud Pak Data Analyst,TRH Consultancy Services,4.1,5-10 Yrs,Not disclosed,Hyderabad,Hybrid,AWS
Data Analyst,Criticalriver,3.9,3-5 Yrs,Not disclosed,Hyderabad,Hybrid,DataAanlysis
Data Analyst,FresherMart,4.1,2-3 Yrs,Not disclosed,Bangalore,Hybrid,Python
Data Analyst,Aptean,3.4,2-5 Yrs,Not disclosed,Bangalore,Hybrid,SQL
Manager-Data Science,Telamon HR Solutions,4.1,7-10 Yrs,Not disclosed,Bangalore,Hybrid,Management 
Data Analyst,Freshtohome,3.5,1-4 Yrs,Not disclosed,Bangalore,Hybrid,DataAanlysis
Oracle Data Analyst,Kastech Software Solutions India,3.6,3-7 Yrs,Not disclosed,Hyderabad,Hybrid,Management 
Data Analyst,Ryan India Tax Services,4.4,2-5 Yrs,Not disclosed,Hyderabad,Hybrid,Python
Data Analyst Contractor,Info Origin,3.7,0-1 Yrs,Not disclosed,Bangalore,Hybrid,SQL
Specialist- Data Analyst,GUS EDUCATION INDIA,3.3,4-6 Yrs,12-16 Lacs PA,Hyderabad,Hybrid,Python
Lead Data Scientist,Bnymelloninternationaloperations(india) Privatelim       Ited,4.1,6-10 Yrs,Not disclosed,Mumbai,Hybrid,SQL
Marketing Data and Reporting Analyst,Vertiv Co,3.9,3-6 Yrs,Not disclosed,Mumbai,Hybrid,ML
R&D Data Admin & Reporting - Data Analysts,Pepsi Foods,4.1,6-9 Yrs,Not disclosed,Hyderabad,Hybrid,Management 
Lead Data Scientist,Novitas Infotech,4.1,7-10 Yrs,Not disclosed,Bangalore,Hybrid,Python
Senior Data Scientist,Fractal Analytics,4.1,5-10 Yrs,Not disclosed,Bangalore,Hybrid,ML
Senior Data Scientist,Boston Consulting Group,3.6,3-5 Yrs,Not disclosed,Bangalore,Hybrid,SQL
Lead Data Scientist,Capco,3.6,6-11 Yrs,Not disclosed,Bangalore,Hybrid,SQL
Lead Data Scientist,CBRE,4.2,4-9 Yrs,Not disclosed,Hyderabad,Hybrid,ML
Lead Data Scientist,Megma Services,4.1,5-10 Yrs,Not disclosed,New Delhi,Hybrid,Python
Lead Data Scientist,Megma Services,4.1,5-10 Yrs,Not disclosed,New Delhi,Hybrid,ML
Lead Data Scientist,Service Now Planet,5,6-11 Yrs,Not disclosed,Hyderabad,Hybrid,SQL
Senior Data Analyst - T&S,Shell,4.3,2-6 Yrs,Not disclosed,Chennai,Hybrid,DataAanlysis
Senior Data Analyst - T&S,Shell,4.3,4-7 Yrs,Not disclosed,Chennai,Hybrid,DataAanlysis
Senior data analyst,Fashion Tv India,4.2,5-6 Yrs,Not disclosed,Mumbai,Hybrid,Management 
Manager-Data Science,Net Connect,3.6,10-12 Yrs,25-40 Lacs PA,Bangalore,Hybrid,Management 
Manager-Data Science,Net Connect,3.6,10-12 Yrs,Not disclosed,Bangalore,Hybrid,Management 
Manager-Data Science,Concerto.ai,4.2,3-6 Yrs,Not disclosed,Bangalore,Hybrid,Management 
Manager-Data Science,Icon Plc,4.1,4-9 Yrs,Not disclosed,Bangalore,Hybrid,Management 
Manager-Data Science,Maximus Global Consulting Services,4.1,8-12 Yrs,27.5-32.5 Lacs PA,Bangalore,Hybrid,Management 
Credit Card Data Analytics Strategy Consultant,Xcelyst Limited,4.1,5-8 Yrs,Not disclosed,Bangalore,Hybrid,SQL
Manager-Data Science,Expertiz,4.8,6-8 Yrs,Not disclosed,Bangalore,Hybrid,Management 
Manager-Data Science,Xpheno,3.3,6-10 Yrs,Not disclosed,Bangalore,Hybrid,Management 
Senior Business Intelligence Developer - Tableau/Data Warehousing,Shreeniwas,4.1,5-6 Yrs,Not disclosed,Hyderabad,Hybrid,SQL
Data Scientist Specialist,Freelancer Sivanagaraju,4.1,7-12 Yrs,20-35 Lacs PA,Bangalore,Hybrid,AWS
Lead Data Scientist,Baker Hughes,4.2,5-9 Yrs,Not disclosed,Bangalore,Hybrid,Management 
Databricks Unified Data Analytics Platform Analytics Advisor,Accenture,4.1,6-8 Yrs,Not disclosed,Bangalore,Hybrid,Python
Cyber R&R - Data Analytics - Associate,PwC,3.6,1-5 Yrs,Not disclosed,Hyderabad,Hybrid,Management 
Looking For Data Scientist(AWS Sage Maker),Techwave Consulting,3.7,7-12 Yrs,Not disclosed,Hyderabad,Hybrid,AWS
Lead Data Scientist,Accenture,4.1,6-8 Yrs,Not disclosed,Mumbai,Hybrid,SQL
Manager-Data Science,KPMG Global Services,3.7,4-8 Yrs,Not disclosed,Bangalore,Hybrid,Management 
Associate Data Analytics - Freshers,Bigspire Software,4.3,0-2 Yrs,Not disclosed,Bangalore,Hybrid,Satistics
AI and Data Science Engineer,Accenture,4.1,8-10 Yrs,Not disclosed,Bangalore,Hybrid,Python
AI and Data Science Engineer,IBM,4.1,1-5 Yrs,Not disclosed,Bangalore,Hybrid,ML
AI and Data Science Engineer,Regalix,3.4,3-5 Yrs,Not disclosed,Bangalore,Hybrid,SQL
Microsoft Power BI Data Platform Engineer,Accenture,4.1,6-8 Yrs,Not disclosed,Mumbai,Hybrid,SQL
Azure Data Engineer,Rockwell Automation,4,3-7 Yrs,Not disclosed,Mumbai,WFH,DataAanlysis
Data Engineer,Hitachi Ltd.,4,4-6 Yrs,Not disclosed,Mumbai,WFH,ML
Data Analyst For Bangalore Location,Teamlease Services Limited,3.9,2-7 Yrs,3.25-8 Lacs PA,Bangalore,WFH,Python
Data Analyst,Siemens,4.2,4-6 Yrs,Not disclosed,Bangalore,WFH,SQL
Procurement Data Analyst,Schneider Electric,4.1,2-3 Yrs,Not disclosed,Bangalore,WFH,Management 
Data Analyst-PYSPARK,Capco,3.6,7-9 Yrs,Not disclosed,Bangalore,WFH,Management 
Data Analyst,Talent Destination,4.1,3-4 Yrs,Not disclosed,Hyderabad,Hybrid,Python
Data Analyst with Multinational Company,Talent Crest Hr Consultants,4.1,3-5 Yrs,5.5-9 Lacs PA,Gurgaon,WFH,Python
Intern -jr Data Scientist,Corner Tree Consulting,2.3,0-1 Yrs,Not disclosed,Bangalore,WFH,Python
Data Analyst,SRM Technologies,3.6,4-7 Yrs,Not disclosed,Chennai,WFH,SQL
Data Analyst -M&T,Accolite Software India Pvt Ltd,3.6,5-7 Yrs,Not disclosed,Bangalore,WFH,AWS
DATA ANALYST,Muthoot Finance,3.6,1-4 Yrs,Not disclosed,Bangalore,WFH,Management 
Data Analyst,Jar App,3.3,0-4 Yrs,Not disclosed,Bangalore,WFH,Management 
Data Analyst,Capco,3.6,3-6 Yrs,Not disclosed,Bangalore,WFH,Management 
Data Analyst,St. John’s Research Institute,3.3,0-4 Yrs,Not disclosed,Bangalore,WFH,Python
Data Analyst,Rystad Energy,4.3,0-3 Yrs,Not disclosed,Bangalore,WFH,ML
Data Analyst-PYSPARK,Capco,3.6,3-7 Yrs,Not disclosed,Bangalore,WFH,Management 
Data Analyst,Mm Staffing & Career Consultants,4.1,0-8 Yrs,Not disclosed,Bangalore,WFH,DataAanlysis
ML + Data Analyst -M&T_SheCodes,Accolite Software India Pvt Ltd,3.6,2-6 Yrs,Not disclosed,Bangalore,WFH,ML
IT Data Analyst (MS Powerbi Dashboard),ZF Friedrichshafen AG,3.6,4-4 Yrs,Not disclosed,Chennai,WFH,SQL
Operations Data Analyst (Engineering),Icims,2.4,5-8 Yrs,Not disclosed,Hyderabad,Hybrid,SQL
Manager-Data Science,PwC,3.6,4-8 Yrs,Not disclosed,Hyderabad,WFH,ML
Senior Risk Advisory Data Analytics,KPMG Global Services,3.7,3-5 Yrs,Not disclosed,Mumbai,WFH,DataAanlysis
Lead Data Scientist,Airtel,4,2-6 Yrs,Not disclosed,Gurgaon,Hybrid,Python
Senior Data Analyst,Essenware,4.3,5-10 Yrs,Not disclosed,Chennai,WFH,Python
Senior Data Analyst,Morningstar,4.1,2-5 Yrs,Not disclosed,Mumbai,WFH,DataAanlysis
Senior Data Analyst,Sourcegrids Consulting Llp,4.1,3-8 Yrs,Not disclosed,Mumbai,WFH,SQL
SE-Developer-Data Analyst,Renault,4.2,7-8 Yrs,Not disclosed,Chennai,WFH,DataAanlysis
Data Management Senior Analyst-Clinical,Accenture,4.1,5-8 Yrs,Not disclosed,Bangalore,WFH,Management 
Analytics Senior Analyst - Data Visualization,Accenture,4.1,5-8 Yrs,Not disclosed,Bangalore,WFH,Python
Data Scientist - Engine Algorithm,Primo Hiring,4.1,1-3 Yrs,Not disclosed,Hyderabad,WFH,SQL
Data Scientist - Engine Algorithm,Primo Hiring,4.1,1-3 Yrs,Not disclosed,Bangalore,WFH,DataAanlysis
Data Scientist - R/Python,Okda Solutions,4.1,4-7 Yrs,Not disclosed,Hyderabad,WFH,Python
Lead Data Scientist,Netomi,4.1,5-8 Yrs,Not disclosed,Hyderabad,WFH,ML
AI and Data Science Engineer,Fractal Analytics,4.1,5-10 Yrs,Not disclosed,Bangalore,WFH,ML
Data Modeler || Coforge,Coforge,3.6,12-14 Yrs,Not disclosed,Hyderabad,Hybrid,SQL
Lead Data Scientist,Talent500,2.7,8-12 Yrs,Not disclosed,Bangalore,WFH,ML
Lead Data Scientist,Okda Solutions,4.1,4-9 Yrs,Not disclosed,Bangalore,WFH,ML
Data Scientist,Innominds Software,3.2,9-14 Yrs,14-24 Lacs PA,Hyderabad,Hybrid,Python
Lead Data Scientist,Sony,4.4,4-7 Yrs,Not disclosed,Bangalore,WFH,ML
Data Scientist | Victoria's Secret,Talent500,2.7,2-6 Yrs,Not disclosed,Hyderabad,WFH,Python
Data Scientist 1,Xoom,4.1,1-3 Yrs,Not disclosed,Bangalore,WFH,DataAanlysis
Lead Data Scientist,Talent500,2.7,8-12 Yrs,Not disclosed,Bangalore,WFH,ML
